TermTitle,TermDefinition,ReportTitle,document_id
Quarterly Grade Point Average::Enrollment Status::Transcript::Honors Program::Academic Credit::Course Section::Course Number::Course::Minor::Grade::UW Student Email Address::Preferred Name::Student Name::Student Number::Family Educational Rights and Privacy Act::Underrepresented Minority Status::Student Ethnicity::New Continuing Returning::Resident::Student Class::Gender::Major::Department::College::Campus::Academic Quarter::Academic Year,"A Quarterly GPA is an average of student grades weighted by the number of credits associated with each grade. It serves as a measure of the student's academic performance during a single quarter. It is expressed on a decimal scale from 0.00 to 4.00. Contrast Quarterly GPA with Degree GPA.::Enrollment Status denotes a student's most recent relationship to registration for a given quarter in which the student has had course registration within that quarter.::?A student's transcript isa permanent academic record of courses taken, grades and degrees received, academic status, and honors.::A program, also called University Honors Program, that provides an intimate academic community where students engage in rigorous interdisciplinary discourse, active reflection, opportunities for educational enrichment, independent study, mentoring, and experiential learning.::Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp::Course instruction is providedin Course Sections. Students who wish toenroll ina given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.::Course Number is a 3-digit number used in conjunction with a Curriculum code toidentify a specific course. For Example: DXARTS 452 refers to the course""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Artsand Experimental Media"" (DXARTS) Curriculum.::The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.::A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.::A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.::A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.::Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Student Number is a unique, numerical student identifier issued during the admission process.::The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.::A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:    a Hispanic/Latino ethnicity, OR  one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American  ::Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.::This term is retired (cancelled)::A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020::Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.  At the Undergraduate Level, Student Class distinguishes between:    Freshmen (students who accumulated 0 to 44.5 Academic Credits)  Sophomores(students who accumulated45 to 89.5Academic Credits)  Juniors(students who accumulated 90 to 134.5Academic Credits)  Seniors (students who accumulated more than 135 Academic Credits)  Non-matriculated students (those not pursuing a Baccalaureate degree)  Visitors (those pursuing a Baccalaureate degree at another institution)    At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.  At the Graduate level, Student Class distinguishes between:    Master students  Educational specialist students  Doctoral students  Practice doctorate students  Graduate non-matriculated students  Visiting students    Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.::There are currently discussions at the UW to define this per national standards. A definition is forthcoming.::A major is a specific field of study into which a student matriculates.::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Current Student Transcript Quarterly Summary,20
Credential::Academic Year::Academic Quarter::Campus::College::Department::Major::Gender::Student Class::Resident::New Continuing Returning::Student Ethnicity::Underrepresented Minority Status::Family Educational Rights and Privacy Act::Student Number::Student Name::UW Student Email Address::Grade::Minor::Course::Course Number::Course Section::Academic Credit::Transcript::Transfer Student::Registered Student::2-Year Transfer::UW Grade Point Average::Degree,"An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::A major is a specific field of study into which a student matriculates.::There are currently discussions at the UW to define this per national standards. A definition is forthcoming.::Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.  At the Undergraduate Level, Student Class distinguishes between:    Freshmen (students who accumulated 0 to 44.5 Academic Credits)  Sophomores(students who accumulated45 to 89.5Academic Credits)  Juniors(students who accumulated 90 to 134.5Academic Credits)  Seniors (students who accumulated more than 135 Academic Credits)  Non-matriculated students (those not pursuing a Baccalaureate degree)  Visitors (those pursuing a Baccalaureate degree at another institution)    At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.  At the Graduate level, Student Class distinguishes between:    Master students  Educational specialist students  Doctoral students  Practice doctorate students  Graduate non-matriculated students  Visiting students    Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.::A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020::This term is retired (cancelled)::Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.::A student is classified as having Underrepresented Minority (URM) Status if that student identifies with either:    a Hispanic/Latino ethnicity, OR  one or more of the following racial groups: Hawaiian/Pacific Islander, American Indian, or African-American  ::The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.::Student Number is a unique, numerical student identifier issued during the admission process.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.::A university-recognized symbol signifying a student's performance level in a course. Only decimal-reported grades are used to derive cumulative grade points to calculate GPA.::A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.::The Course is the principal vehicle for delivering education to students at the university and is organized around a specific topic of study. Courses are described and defined in the Course Catalog. At the University of Washington, each course is identified by a combination of course campus, Curriculum, and number. In order to be open for student registration, the course must first be approved by the University's curriculum committee. Students who wish to enroll in a given Course do so by registering for a Course Section displayed in the Time Schedule.::Course Number is a 3-digit number used in conjunction with a Curriculum code toidentify a specific course. For Example: DXARTS 452 refers to the course""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Artsand Experimental Media"" (DXARTS) Curriculum.::Course instruction is providedin Course Sections. Students who wish toenroll ina given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.::Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp::?A student's transcript isa permanent academic record of courses taken, grades and degrees received, academic status, and honors.::A student who enrolls at the UW after having been admitted as a transfer applicant.::A student is registered on a given day in a given Academic Quarter if that student has one or more active Student Course Registrations for that day. For the sake of clarity, note that a student is no longer considered registered when that student drops all courses or withdraws from the university.::A 2-Year transfer student transferred to UW directly (i.e., last prior school attended) from a regionally accredited 2-year college.::The University's grade point average is a weighted average of student grades that serves as a measure of the student's academic performance during a quarter, from the beginning of the student's studies at a given level (Cumulative GPA), or upon graduation (Degree GPA). It is expressed on a decimal scale from 0.00 to 4.00.::Formal award at the Bachelor's,Master's, Doctoral or Professionallevel conferred by theUniversityas official recognition for the successful completion of a program of study.",Current Student Transfer Summary,21
Department::College::Campus::Curriculum::CIP Code::Payroll Unit Code,"?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::An academic discipline or body of knowledge, e.g.biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.::The Classification of Instructional Programs (CIP) code set is published by the U.S. Department of Education. This standard set of programs and associated codes (CIP codes) is used to facilitate comparison of departments and their academic offerings across universities. CIP codes are issued by the U.S. Department of Education's National Center for Education Statistics (NCES). See http://nces.ed.gov/ipeds/cipcode.::A payroll unit code is a four-digit code that identifies what department a particular budget belongs to. This four-digit code is also used for generating reports and sorting payroll checks.",Curriculum Codes,101
Organization Code Dean Level::Organization Code::Budget Number,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::A six-digit control number (xx-xxxx) that assigns cost and responsibility centers for accounting and budgeting purposes.",Custom Budget Index Report by OrgCode,38
Student Name::Student Number,"Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Student Number is a unique, numerical student identifier issued during the admission process.",Daily Aid and Refund Check Activity File,94
Tuition Category::Credential::Degree::Major Pathway::Major::Department::College::Campus,"A classification, generally assigned to students on the basis of academic program, used to assign tuition charges.::An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.::Formal award at the Bachelor's,Master's, Doctoral or Professionallevel conferred by theUniversityas official recognition for the successful completion of a program of study.::A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.::A major is a specific field of study into which a student matriculates.::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Degree Codes,13
Organization Code::Degree Type::Degree Level::Credential::Degree::Major Pathway::Program of Study::Major::Department::College::Campus,"?The Organization Codeuniquely identifies eachorganizationalunitat theUniversity. These organizational units can be administrative or academic in nature. Traditionally, the Organization Code has been used for financial purposes (for example, relatingorganizational units andbudget numbers); however, its use has been adopted more broadly in recent years.::Degree Type refers to the category of a degree granted within a given Degree Level. As an example, within the Bachelor's degree level, there can be different Degree Types; e.g., Bachelor of Science, Bachelor of Arts, etc.::Degree Level refers to the level of the academic award conferred to a student: Bachelor's, Master's, Graduate Certificate, Educational Specialist, Doctoral or Professional.::An academic credential is a degree, certification, or other documentation conferred by the university as an indication of the completion of one or more courses of study.::Formal award at the Bachelor's,Master's, Doctoral or Professionallevel conferred by theUniversityas official recognition for the successful completion of a program of study.::A given major may have multiple specializations or options, each with unique requirements for navigating to a similar degree. These variations of the major are termed ""major pathways"". A ""major pathway number"" is assigned to identify each variation. This number serves as an important identifier -- in conjunction with the major code -- to specifically identify an academic program and its requirements.::A prescribed grouping of learning units such as courses, activities, competencies, learning objectives, and/or institutional/core requirements that are intended to facilitate the understanding of a particular body of knowledge. Programs may also include requirements as to the order, timing, performance, and results (e.g. GPA) of the grouping of learning units that make up a program. The end result of a completed program is an acknowledged level of accomplishment or a credential (e.g. certificate, degree, minor).::A major is a specific field of study into which a student matriculates.::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Degrees and Organization Associations,108
Account Code::Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. The Financial Accounting office maintains an Object Code table available on the web at http://www.washington.edu/admin/finacct/obcodes::The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Expense and Revenue Transfer Report,36
Financial Accounting System::Originating Area Code::Account Code,"The UW�s financial system.  This is the system of record for all financial transactions including salary expenses.::Originating Area Code (OAC) is a 2-character data item appended to financial transactions that originate from Fastrans. These 2-characters are sometimes reflected as a prefix to invoice or reference number (ie; CTI or ISD number). The OAC code helps differentiate one unit's transactions from another unit's that might be submitted on the same day with the same date and file name.  The OAC List includes the name and box (or email) of a contact person for the unit who originated the transaction. While Individuals listed there might not have generated the transaction or have the documentation you are seeking, they may, serve as a point of reference to help you find the information needed. The originating area code is included in the Transaction Detail Report of MyFinancial.desktop (MyFD).::Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. The Financial Accounting office maintains an Object Code table available on the web at http://www.washington.edu/admin/finacct/obcodes",FAS Batch Summary Report,48
Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",FEC Dashboard Action List,113
Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",FEC Dashboard Report by FEC Cycle,112
Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",FEC Dashboard Report by OrgCode,106
Faculty Effort Certification Cycle::Organization Code Dean Level::Organization Code,"The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Faculty Effort Certification (FEC) Dashboard,105
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Fiscal Year Income and Expense Summary Report Menu,115
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Fiscal Year Income and Expense Summary by OrgCode and Function,114
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Fiscal Year Income and Expense Summary by OrgCode and Funding Source,85
