TermTitle,TermDefinition,ReportTitle
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Biennium To Date Budget Balances
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Budget Summary by OrgCode
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Budget Summary by OrgCode
Account Code,"<div>Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. <br></div><div><br></div><div>The Financial Accounting office maintains an Object Code table available on the web at <a target=""_blank"" rel=""nofollow"" href=""http://www.washington.edu/admin/finacct/obcodes"">http://www.washington.edu/admin/finacct/obcodes</a></div>",Budget Summary by OrgCode
Budget Super Class,Budget Super Class is the third tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting.,Budget Type Class Matrix
Budget Family,Budget Family is the second tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting.,Budget Type Class Matrix
Budget Community,"Budget Community is the highest tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting. There are four Budget Communities:  General Operating Funds (GOF), Designated Operating Funds (DOF),  Restricted Operating Funds (ROF) and Other Operating Funds (OOF).",Budget Type Class Matrix
Budget Category,A system of grouping budgets for financial reporting that utilizes the Budget Type Class Matrix that is maintained by the Office of Planning an Budgeting.,Budget Type Class Matrix
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Building Summary by OrgCode
Faculty,"Faculty at the University of Washington are Professors, Lecturers, Artists in Residence, Professors of Practice, Instructors, Teaching Associates, and Research Associates, in all titles, tracks, and ranks as described in the <a target=""_blank"" rel=""nofollow"" href=""http://www.washington.edu/admin/rules/policies/FCG/FCCH21.html#2131"">Faculty Code Section 21-31</a> and <a target=""_blank"" rel=""nofollow"" href=""http://www.washington.edu/admin/rules/policies/FCG/FCCH24.html#2434B"">Faculty Code Section 24-34 Subsection B</a>. This population is distinct from librarians, medical residents, senior fellows, and senior fellow trainees. The Faculty Code and any revisions to it that may occur in the future shall serve as the authoritative definition of this term.",Building Summary by Primary Use
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Campus Application Counts Comparison
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Campus Application Counts Comparison
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Campus Application Counts Comparison
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Cashier Activity Report - Payments Received
Minor,"<p>A minor is a transcriptable additional area of specialization (25-35 credits) for undergraduates only. Students are not required to have a minor, but may complete up to three in addition to a major.</p>",Class List By Curriculum Course Section
Pending Major,Pending major describes the major that will become effective for a student for the quarter specified.,Class List By Curriculum Course Section
Disability,"According to UW Policy, a disability is a physical or mental impairment that substantially limits one or more major life activities. Major life activities related to education include, but are not limited to: walking, sleeping, eating, learning, reading, writing, processing, hearing, etc.<br>",Class List By Curriculum Course Section
Veteran,An individual who has served in the United States Armed Forces.,Class List By Curriculum Course Section
Registered Student,"A student is registered on a given day in a given Academic Quarter if that student has one or more active Student Course Registrations for that day. For the sake of clarity, note that a student is no longer considered registered when that student drops all courses or withdraws from the university.",Class List By Curriculum Course Section
Major,<p>A major is a specific field of study into which a student matriculates.</p>,Class List By Curriculum Course Section
Permanent Address,"<p>The permanent address is a postal-recognized location (NOT a PO Box) which an applicant, student, or former student identifies as their permanent address on their application. It should be the same as a parent or legal guardian address if they are a dependent. It could be the same as their ""local"" address. If they are not a dependent, it could be the same as the &ldquo;local; address or simply the student&rsquo;s permanent home base for legal purposes. If they are an international student, the permanent address cannot be a U.S. address. (See Usage section below for more information from ISS.)</p>",Class List By Curriculum Course Section
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Class List By Curriculum Course Section
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Class List By Curriculum Course Section
Enrollment Status,Enrollment Status denotes a student's most recent relationship to registration for a given quarter in which the student has had course registration within that quarter.,Class List By Curriculum Course Section
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Class List By Curriculum Course Section
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",Class List By Curriculum Course Section
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,Class List By Curriculum Course Section
Curriculum,"An academic discipline or body of knowledge, e.g.&nbsp;biology, astronomy, linguistics, or music. Curriculum abbreviations or codes are commonly used as part of a course identifier to classify course offerings according to their academic discipline. For example, the course BIOL 101 belongs to the Biology curriculum.",Class List By Curriculum Course Section
Course Number,"Course Number is a 3-digit number used in conjunction with a Curriculum code to&nbsp;identify a specific course. For Example: DXARTS 452 refers to the course&nbsp;""Experiments in Digital Video: The Architecture of Time II"" within the ""Digital Arts&nbsp;and Experimental Media"" (DXARTS) Curriculum.",Class List By Curriculum Course Section
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Class List By Curriculum Course Section
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",Class List By Curriculum Course Section
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",Class List By Curriculum Course Section
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",Class List By Curriculum Course Section
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",Class List By Curriculum Course Section
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Class List By Curriculum Course Section
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Class List By Curriculum Course Section
Preferred Name,<p>Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo,Class List By Curriculum Course Section
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,Class List By Curriculum Course Section
Student Birth Date,"The date of birth of the student in the format of four digit year, month, and day.",Class List By Curriculum Course Section
Student: Visa Type,"Student: Visa Type is the information provided by a student or applicant about their current or intended U.S. immigration status. This term Student: Visa Type is different from, but includes the same values as, the Student Visa types of F1, J1, M1. The visa type can change over time; students may apply for admission with one type, begin enrollment, and have it changed to a new type. SDB does not store historic Visa Type information.",Class List By Curriculum Course Section
Schedule Line Number,This number uniquely identifies each Course Section in the Time Schedule for a given Academic Quarter.,Class List By Curriculum Course Section
International Student,?An individual who is not a citizen or permanent resident of the U.S. and is enrolled in one or more courses at the UW.,Class List By Curriculum Course Section
Faculty,"<p>Faculty members are persons paid for instructional, research, and service activities. They are identified by an ECS Code (also known as Employee Type) of F and a Job Classification Code that indicates participation in one or more of the above-mentioned activities.</p>",Class List By Curriculum Course Section
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Class List By Curriculum Course Section
Major Requested,<p>Applicants for matriculated status may indicate their intended major of interest at the time of application.</p>,Class List By Curriculum Course Section
Local Address,<p>Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.</p>,Class List By Curriculum Course Section
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",College Space Data by Facility
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,College Space Data by OrgCode
