tool_type,title,created,updated,custodian,author,description,subject_area,support_name,sql_query,database_name,uw_profile
Report,Expense and Revenue Transfer Report,9/2/2002,9/3/2024, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,"This report displays posted Expense and Revenue Journal Entries (Transaction Code 35) and Salary Expense Transfers (Transaction Code 70) for selected Org Codes for a selected date range. It is similar to the MyFinancial.desktop Posted Expense Transfer query template, but also includes Journal Entries initiated in other applications - e.g. FASTRANS. Grant Budgets are defined in this context as those with a Budget Type of ""05"".",Services & Resources,Enterprise Reporting and Analytics,"SELECT Distinct a.appl_yr, Appl_Qtr = case when a.appl_qtr = 1 then 'Winter' when a.appl_qtr = 2 then 'Spring' when a.appl_qtr = 3 then 'Summer' when a.appl_qtr = 4 then 'Autumn' end, v.student_name, fname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), 1, CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,mname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))+1,LEN(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,lname = SUBSTRING(v.student_name_lowc, 1, CHARINDEX(',',v.student_name_lowc)-1) , student_no_char = CASE WHEN LEN(CONVERT(CHAR(7),v. student_no)) = 6 THEN '0' + CONVERT(CHAR(7), v.student_no) WHEN LEN(CONVERT(CHAR(7), v.student_no)) = 5 THEN '00' + CONVERT(CHAR(7), v.student_no) ELSE CONVERT(CHAR(7), v.student_no) END, ar.req_major_abbr, mc.major_full_nm, a.appl_type, Appl_level = case when a.appl_type = '1' then 'FR' when a.appl_type = '2' then 'UG 2yr' when a.appl_type = '4' then 'UG 4yr' when a.appl_type = '6' OR a.appl_type = 'R' then 'UG (Returning)' when a.appl_type = '5' then '5YR' when a.appl_type = 'N'OR a.appl_type = 'P' then 'NM' when a.appl_type = '7' then 'GR (Returning)' when a.appl_type = 'G' then 'GR (Gradute)' when a.appl_type = 'E' then 'GNM' when a.appl_type = 'P' then 'PRO' else 'No Appl Type' end, a.appl_status, s.appl_stat_descrip, addr.perm_line_1, addr.perm_line_2, addr.perm_city, addr.perm_state, addr.perm_zip_5, addr.local_line_1, addr.local_line_2, addr.local_city, addr.local_state, addr.local_zip_5, addr.perm_phone_num, addr.local_phone_num, addr.e_mail_ucs, addr.e_mail_other, confirmed_dt = (Select max(ab.trans_dt) from sec.sr_adm_stat_chg ab where ab.system_key = a.system_key and ab.appl_no = a.appl_no and ab.appl_yr = a.appl_yr and ab.appl_qtr = a.appl_qtr and ab.appl_status_new in (15,16) ), r.advising_date, r.advising_type, AdviseType = CASE WHEN r.advising_type= 'O' THEN 'Orientation' Else 'Other' END, v.running_start, v.college_in_hs FROM sec.student_1 v inner join sec.sr_adm_appl a on v.system_key = a.system_key inner join sec.sr_adm_appl_req_col_major ar on a.appl_yr = ar.appl_yr and a.appl_qtr = ar.appl_qtr and a.appl_no = ar.appl_no and a.system_key = ar.system_key left join sec.sr_major_code mc on ar.req_major_abbr = mc.major_abbr and ar.req_pathway = mc.major_pathway inner join sec.sys_tbl_72_appl_status s on a.appl_status = s.table_key left join sec.addresses addr on v.system_key = addr.system_key LEFT JOIN sec.registration r ON v.system_key = r.system_key AND r.regis_yr=@year AND r.regis_qtr=@Quarter WHERE a.appl_branch = 1 and a.appl_type = '1' --and mc.major_pathway = 0 AND (a.appl_yr = @year) AND (a.appl_qtr = @Quarter) AND a.appl_status in (15,16) order by v.student_name",EDWAdminMart,No
Report,Transfer Detail Report,11/2/2015,11/4/2006, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,This report displays transfer detail for the selected transaction.,Services & Resources,Enterprise Reporting and Analytics,"SELECT AcctngMonth, FundCode, SUM(DebitSumAmt) AS DebitAmt, SUM(CreditSumAmt) AS CreditAmt FROM GLDataMart.sec.TransGLSummary WHERE (GLAccountCode = '4801') AND (AcctngMonth =@Acctmonth) AND (BienniumYear = @BienYear) GROUP BY AcctngMonth, FundCode ORDER BY AcctngMonth, FundCode",EDWAdminMart,No
Report,Custom Budget Index Report by OrgCode,9/2/2027,9/4/2018, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,This report displays customizable Budget Index information for selected Org Codes.,Services & Resources,Enterprise Reporting and Analytics,"SELECT Distinct a.appl_yr, Appl_Qtr = case when a.appl_qtr = 1 then 'Winter' when a.appl_qtr = 2 then 'Spring' when a.appl_qtr = 3 then 'Summer' when a.appl_qtr = 4 then 'Autumn' end, v.student_name, fname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), 1, CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,mname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))+1,LEN(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,lname = SUBSTRING(v.student_name_lowc, 1, CHARINDEX(',',v.student_name_lowc)-1) , student_no_char = CASE WHEN LEN(CONVERT(CHAR(7),v. student_no)) = 6 THEN '0' + CONVERT(CHAR(7), v.student_no) WHEN LEN(CONVERT(CHAR(7), v.student_no)) = 5 THEN '00' + CONVERT(CHAR(7), v.student_no) ELSE CONVERT(CHAR(7), v.student_no) END, ar.req_major_abbr, mc.major_full_nm, a.appl_type, Appl_level = case when a.appl_type = '1' then 'FR' when a.appl_type = '2' then 'UG 2yr' when a.appl_type = '4' then 'UG 4yr' when a.appl_type = '6' OR a.appl_type = 'R' then 'UG (Returning)' when a.appl_type = '5' then '5YR' when a.appl_type = 'N'OR a.appl_type = 'P' then 'NM' when a.appl_type = '7' then 'GR (Returning)' when a.appl_type = 'G' then 'GR (Gradute)' when a.appl_type = 'E' then 'GNM' when a.appl_type = 'P' then 'PRO' else 'No Appl Type' end, a.appl_status, s.appl_stat_descrip, addr.perm_line_1, addr.perm_line_2, addr.perm_city, addr.perm_state, addr.perm_zip_5, addr.local_line_1, addr.local_line_2, addr.local_city, addr.local_state, addr.local_zip_5, addr.perm_phone_num, addr.local_phone_num, addr.e_mail_ucs, addr.e_mail_other, confirmed_dt = (Select max(ab.trans_dt) from sec.sr_adm_stat_chg ab where ab.system_key = a.system_key and ab.appl_no = a.appl_no and ab.appl_yr = a.appl_yr and ab.appl_qtr = a.appl_qtr and ab.appl_status_new in (15,16) ), r.advising_date, r.advising_type, AdviseType = CASE WHEN r.advising_type= 'O' THEN 'Orientation' Else 'Other' END, v.running_start, v.college_in_hs FROM sec.student_1 v inner join sec.sr_adm_appl a on v.system_key = a.system_key inner join sec.sr_adm_appl_req_col_major ar on a.appl_yr = ar.appl_yr and a.appl_qtr = ar.appl_qtr and a.appl_no = ar.appl_no and a.system_key = ar.system_key left join sec.sr_major_code mc on ar.req_major_abbr = mc.major_abbr and ar.req_pathway = mc.major_pathway inner join sec.sys_tbl_72_appl_status s on a.appl_status = s.table_key left join sec.addresses addr on v.system_key = addr.system_key LEFT JOIN sec.registration r ON v.system_key = r.system_key AND r.regis_yr=@year AND r.regis_qtr=@Quarter WHERE a.appl_branch = 1 and a.appl_type = '1' --and mc.major_pathway = 0 AND (a.appl_yr = @year) AND (a.appl_qtr = @Quarter) AND a.appl_status in (15,16) order by v.student_name",EDWAdminMart,No
Report,MyFD Expense Transfer Volume Report,9/3/2027,9/5/2016, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,"This report displays metrics for a selected date range about the volume of Expense Transfers initiated/executed in MyFinancialDesktop, beginning with Dec-08-2008.",Services & Resources,Enterprise Reporting and Analytics,"DECLARE @fundingtable table ( f_systemkey decimal(9,0) , Funding_Source varchar(30) ) INSERT INTO @fundingtable SELECT DISTINCT s1.system_key , CASE WHEN mc.major_ss_inelig = 1 THEN 'Fee Based' WHEN s1.system_key IN ( SELECT DISTINCT r1.system_key FROM UWSDBDataStore.sec.registration r1 INNER JOIN UWSDBDataStore.sec.registration_courses rc1 ON r1.system_key = rc1.system_key AND r1.regis_yr = rc1.regis_yr AND r1.regis_qtr = rc1.regis_qtr AND rc1.course_branch = 1 INNER JOIN UWSDBDataStore.sec.sys_tbl_39_calendar st39 ON '0' + CAST(rc1.regis_yr AS char(4)) + CAST(rc1.regis_qtr AS char(1)) = st39.table_key WHERE r1.enroll_status = 12 AND ((rc1.request_status IN('A','C','R')) OR (rc1.request_status IN('W','Y','D') AND rc1.request_dt > st39.tenth_day)) AND r1.regis_qtr = @Quarter AND r1.regis_yr = @year AND CAST(r1.regis_yr AS char(4)) + CAST(r1.regis_qtr AS char(1)) + rc1.crs_curric_abbr + CAST(rc1.crs_number AS char(3)) + rc1.crs_section_id IN ( '20104B NURS350C', '20104B NURS430D', --Fall 2010 '20111B NURS407C', '20111B NURS410C', --Winter 2011 '20112B NURS403C', '20112B HLTH497D', --Spring 2011 '20113B HLTH497D','20113B NURS409F','20113B NURS409G','20113B NURS409H','20113B NURS495G','20113B NURS495H','20113B NURS495I', --Summer 2011 '20114B NURS430D', '20114B HLTH497D', '20114B NURS350C', --Fall 2011 '20121B NURS407C', '20121B NURS410C', --Winter 2012 '20122B NURS403C', '20122B HLTH497C', --Spring 2012 '20123B HLTH450A', '20123B NURS409F', '20123B NURS409G', '20123B NURS409H', --Summer 2012 '20124B HLTH497D', '20124B NURS350C', '20124B NURS430D', --Fall 2012 '20131B NURS407C', '20131B NURS410C', --Winter 2013 '20132B NURS403C', '20132B HLTH497C', --Spring 2013 '20133B HLTH497A', '20133B NURS409F', '20133B NURS409G', '20133B NURS409H' --Summer 2013 ) ) THEN 'University Center Everett' --NOTE there will need to be a separate WHEN...THEN statement for each year and quarter that the Everett Nursing program runs at least until Seattle comes up with some way to code them appropriately WHEN s1.system_key IN ( SELECT DISTINCT sg.system_key FROM UWSDBDataStore.sec.sr_student_grp sg WHERE sg.sg_group_cd = 'NEVT' AND @year *10 + @Quarter BETWEEN sg.sg_init_yr *10 + sg.sg_init_qtr AND sg.sg_exp_yr *10 + sg.sg_exp_qtr ) THEN 'University Center Everett' ELSE ' State Funded' END FROM UWSDBDataStore.sec.student_1 s1 INNER JOIN UWSDBDataStore.sec.student_1_college_major s1cm ON s1.system_key = s1cm.system_key AND s1cm.branch = 1 AND s1cm.index1 = 1 INNER JOIN UWSDBDataStore.sec.registration r ON s1.system_key = r.system_key INNER JOIN UWSDBDataStore.sec.Sr_major_code mc ON s1cm.major_abbr = mc.major_abbr AND s1cm.pathway = mc.major_pathway AND mc.major_last_yr IN ( SELECT MAX(mc1.major_last_yr) AS lastyr FROM UWSDBDataStore.sec.Sr_major_code mc1 WHERE s1cm.major_abbr = mc1.major_abbr AND s1cm.pathway = mc1.major_pathway ) WHERE r.regis_yr = @year AND r.regis_qtr = @Quarter AND r.enroll_status = 12 ----------------------------------------------------------------------------------------------------- --Headcount SELECT Dept = CASE WHEN scm.major_abbr = 'B NM' THEN 'Non-Matric' WHEN scm.major_abbr = 'B BUSX' THEN 'BUSINESS ADMINISTRATION (BELLEVUE)' WHEN scm.major_abbr = 'B NURS' AND ft.funding_source ='University Center Everett' THEN 'NURSING (EVERETT)' WHEN m.major_dept IN(865, 1073, 1091, 1092, 1093) THEN 'School of Science, Technology, Engr & Math' ELSE d.dept_full_nm END , Funding = ft.Funding_Source , r.regis_qtr , r.regis_yr , class_status = CASE WHEN s1.class = 1 AND m.major_dept = 864 THEN 'Undergrad-Freshman' --NOTE that dept code 864 is CUSP WHEN s1.class = 2 AND m.major_dept = 864 THEN 'Undergrad-Sophomore' WHEN s1.class = 3 AND m.major_dept = 864 THEN 'Undergrad-Junior' WHEN s1.class = 4 AND m.major_dept = 864 THEN 'Undergrad-Senior' WHEN s1.class = 5 AND m.major_dept = 864 THEN 'Undergrad-Fifth Year' WHEN s1.class = 6 AND m.major_dept = 864 AND scm.deg_level = 0 THEN 'Undergrad-Non-Matric' WHEN s1.class = 6 AND m.major_dept = 864 AND scm.deg_level = 2 THEN 'Graduate-Non-Matric' WHEN s1.class < 6 AND m.major_dept <> 864 THEN 'Undergrad' WHEN s1.class = 6 AND m.major_dept <> 864 AND scm.deg_level = 0 THEN 'Undergrad' WHEN s1.class = 6 AND m.major_dept <> 864 AND scm.deg_level = 2 THEN 'Graduate' WHEN s1.class = 8 THEN 'Graduate' ELSE 'UNKNOWN' END , class_status_order = CASE WHEN s1.class = 1 AND m.major_dept = 864 THEN 20 WHEN s1.class = 2 AND m.major_dept = 864 THEN 30 WHEN s1.class = 3 AND m.major_dept = 864 THEN 40 WHEN s1.class = 4 AND m.major_dept = 864 THEN 50 WHEN s1.class = 5 AND m.major_dept = 864 THEN 60 WHEN s1.class = 6 AND m.major_dept = 864 THEN 70 WHEN s1.class < 6 AND m.major_dept <> 864 THEN 10 WHEN s1.class = 6 AND scm.deg_level = 0 AND m.major_dept <> 864 THEN 10 WHEN s1.class = 6 AND scm.deg_level = 2 AND m.major_dept",EDWAdminMart,No
Report,Budget Profile Report,9/4/2006,9/5/2026, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,This report displays all detail information for a given budget number in a given biennium.,Services & Resources,Enterprise Reporting and Analytics,"SELECT BienniumYear, SUM(OpenBalAmt) AS BeginingBalance, SUM(DebitSumAmt) AS debit, SUM(CreditSumAmt) AS credit FROM GLDataMart.sec.TransGLSummary WHERE (GLAccountCode = '1160') GROUP BY BienniumYear ORDER BY BienniumYear",EDWAdminMart,No
Report,Budget Summary by OrgCode,9/5/2020,9/7/2009, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,"This report displays budgeted amounts, encumbrances, transaction totals, and budget balances for the selected Org Codes, by account code, during a reporting period.",Services & Resources,Enterprise Reporting and Analytics,"SELECT DISTINCT s1.system_key ,s1.student_name ,'First Name' = SUBSTRING(SUBSTRING(s1.student_name, CHARINDEX(',',s1.student_name) + 1, LEN(s1.student_name)), 1, CHARINDEX(' ',SUBSTRING(s1.student_name, CHARINDEX(',',s1.student_name) + 1, LEN(s1.student_name)))) ,'Middle Name' = SUBSTRING(SUBSTRING(s1.student_name, CHARINDEX(',',s1.student_name) + 1, LEN(s1.student_name)), CHARINDEX(' ',SUBSTRING(s1.student_name, CHARINDEX(',',s1.student_name) + 1, LEN(s1.student_name)))+1,LEN(SUBSTRING(s1.student_name, CHARINDEX(',',s1.student_name) + 1, 1))) ,'Last Name' = SUBSTRING(s1.student_name, 1, CHARINDEX(',',s1.student_name)-1) ,student_no_char = CASE WHEN LEN(CONVERT(CHAR(7),s1. student_no)) = 6 THEN '0' + CONVERT(CHAR(7), s1.student_no) WHEN LEN(CONVERT(CHAR(7), s1.student_no)) = 5 THEN '00' + CONVERT(CHAR(7), s1.student_no) ELSE CONVERT(CHAR(7), s1.student_no) END ,'SAT_CR' = CASE WHEN s1.s1_high_satv > 0 THEN s1.s1_high_satv ELSE NULL END ,'SAT_Math' = CASE WHEN s1.s1_high_satm > 0 THEN s1.s1_high_satm ELSE NULL END ,'ACT Composite' = CASE WHEN s1.s1_high_act > 0 THEN s1.s1_high_act ELSE NULL END ,high_sch_gpa ,a.trans_gpa ,'Cumulative GPA' = CASE WHEN s1.tot_graded_attmp > 0 THEN (s1.tot_grade_points/s1.tot_graded_attmp) ELSE 0 END ,appl_type , a.appl_status , s.appl_stat_descrip ,addr.perm_city ,addr.perm_state ,addr.local_state ,st30hs.high_school_name FROM UWSDBDataStore.sec.student_1 s1 INNER JOIN UWSDBDataStore.sec.sr_adm_appl a ON s1.system_key = a.system_key LEFT join UWSDBDataStore.sec.sys_tbl_72_appl_status s on a.appl_status = s.table_key left join UWSDBDataStore.sec.addresses addr on s1.system_key = addr.system_key LEFT JOIN sec.sys_tbl_30_highschool st30hs ON a.high_sch_code = st30hs.table_key WHERE appl_yr IN (@Year) AND appl_qtr IN (@Quarter) AND appl_branch = @branch AND appl_type = '1' AND high_sch_gpa >= @GPA AND ( CASE WHEN s1.s1_high_act > 0 THEN s1.s1_high_act ELSE NULL END >= @ACT OR CASE WHEN s1.s1_high_satv > 0 THEN s1.s1_high_satv ELSE NULL END >= @SATV OR CASE WHEN s1.s1_high_satm > 0 THEN s1.s1_high_satm ELSE NULL END >= @SATM )",EDWAdminMart,No
Report,Transaction Summary by OrgCode,9/5/2020,9/7/2009, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,"This report displays individual transactions that impacted the budgets for the selected Org Codes, by account code, during a reporting period.",Services & Resources,Enterprise Reporting and Analytics,"SELECT Distinct a.appl_yr, Appl_Qtr = case when a.appl_qtr = 1 then 'Winter' when a.appl_qtr = 2 then 'Spring' when a.appl_qtr = 3 then 'Summer' when a.appl_qtr = 4 then 'Autumn' end, v.student_name, fname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), 1, CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,mname = SUBSTRING(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)), CHARINDEX(' ',SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))+1,LEN(SUBSTRING(v.student_name_lowc, CHARINDEX(',',v.student_name_lowc) + 1, LEN(v.student_name_lowc)))) ,lname = SUBSTRING(v.student_name_lowc, 1, CHARINDEX(',',v.student_name_lowc)-1) , student_no_char = CASE WHEN LEN(CONVERT(CHAR(7),v. student_no)) = 6 THEN '0' + CONVERT(CHAR(7), v.student_no) WHEN LEN(CONVERT(CHAR(7), v.student_no)) = 5 THEN '00' + CONVERT(CHAR(7), v.student_no) ELSE CONVERT(CHAR(7), v.student_no) END, ar.req_major_abbr, mc.major_full_nm, a.appl_type, Appl_level = case when a.appl_type = '1' then 'FR' when a.appl_type = '2' then 'UG 2yr' when a.appl_type = '4' then 'UG 4yr' when a.appl_type = '6' OR a.appl_type = 'R' then 'UG (Returning)' when a.appl_type = '5' then '5YR' when a.appl_type = 'N'OR a.appl_type = 'P' then 'NM' when a.appl_type = '7' then 'GR (Returning)' when a.appl_type = 'G' then 'GR (Gradute)' when a.appl_type = 'E' then 'GNM' when a.appl_type = 'P' then 'PRO' else 'No Appl Type' end, a.appl_status, s.appl_stat_descrip, addr.perm_line_1, addr.perm_line_2, addr.perm_city, addr.perm_state, addr.perm_zip_5, addr.local_line_1, addr.local_line_2, addr.local_city, addr.local_state, addr.local_zip_5, addr.perm_phone_num, addr.local_phone_num, addr.e_mail_ucs, addr.e_mail_other, confirmed_dt = (Select max(ab.trans_dt) from sec.sr_adm_stat_chg ab where ab.system_key = a.system_key and ab.appl_no = a.appl_no and ab.appl_yr = a.appl_yr and ab.appl_qtr = a.appl_qtr and ab.appl_status_new in (15,16) ), r.advising_date, r.advising_type, AdviseType = CASE WHEN r.advising_type= 'O' THEN 'Orientation' Else 'Other' END, v.running_start, v.college_in_hs FROM sec.student_1 v inner join sec.sr_adm_appl a on v.system_key = a.system_key inner join sec.sr_adm_appl_req_col_major ar on a.appl_yr = ar.appl_yr and a.appl_qtr = ar.appl_qtr and a.appl_no = ar.appl_no and a.system_key = ar.system_key left join sec.sr_major_code mc on ar.req_major_abbr = mc.major_abbr and ar.req_pathway = mc.major_pathway inner join sec.sys_tbl_72_appl_status s on a.appl_status = s.table_key left join sec.addresses addr on v.system_key = addr.system_key LEFT JOIN sec.registration r ON v.system_key = r.system_key AND r.regis_yr=@year AND r.regis_qtr=@Quarter WHERE a.appl_branch = 1 and a.appl_type = '1' --and mc.major_pathway = 0 AND (a.appl_yr = @year) AND (a.appl_qtr = @Quarter) AND a.appl_status in (15,16) order by v.student_name",EDWAdminMart,No
Report,Transaction Detail,9/5/2020,9/7/2009, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,"This report displays a list of budget numbers that are not associated with a room in the GeoSIMS application. Budget type classes 0552 and 0557 are excluded by default because departments are not required to assign space for budgets in these type classes. The list is by home department OrgCode. For a home department with budget activity, the aim is to identify the space that the activity occurs in and then update the room profile in GeoSIMS with the budget number. The list of budgets on this r",Services & Resources,Enterprise Reporting and Analytics,"SELECT sr_adm_appl.appl_qtr , sr_adm_appl.appl_yr , sr_adm_appl.appl_branch , sr_adm_appl.appl_status_rsn , v.student_no , v.student_name_lowc , v.system_key , sr_adm_appl.appl_status , addr.e_mail_ucs , addr.e_mail_other , AppStatus = CASE WHEN sr_adm_appl.appl_status = 1 THEN 'Application Received -- Not Processed' WHEN sr_adm_appl.appl_status = 2 THEN 'Incomplete' WHEN sr_adm_appl.appl_status = 4 THEN 'File Complete and Sent to Department' WHEN sr_adm_appl.appl_status = 5 THEN 'HOLD- Requested Additional Documenation' WHEN sr_adm_appl.appl_status = 7 THEN 'Applicant Withdrew Application' WHEN sr_adm_appl.appl_status = 8 THEN 'Applicant is Denied Admission' WHEN sr_adm_appl.appl_status = 9 THEN 'Temp Hold- File is Complete and Sent to Evaluators' WHEN sr_adm_appl.appl_status = 10 THEN 'Applicant is Admited to the University' WHEN sr_adm_appl.appl_status = 12 THEN 'Applicant has Registered for Classes' WHEN sr_adm_appl.appl_status = 14 THEN 'Applicant is Admited to the University' WHEN sr_adm_appl.appl_status = 15 THEN 'Applicant is Paid Confirmation Fee' WHEN sr_adm_appl.appl_status = 16 THEN 'Applicant is Paid Confirmation Fee' WHEN sr_adm_appl.appl_status = 17 THEN 'Files Complete - Too Late for an Admissions Decision' WHEN sr_adm_appl.appl_status = 24 THEN 'Applicant Declined Our Offer of Admission' ELSE 'NON UWB App Status' END, (SELECT COUNT(*) AS Expr1 FROM sec.sr_adm_appl AS app_sea WHERE (sr_adm_appl.appl_yr = appl_yr) AND (sr_adm_appl.appl_qtr = appl_qtr) AND (sr_adm_appl.system_key = system_key) AND (appl_branch = 0)) AS seattle_appl_count, CASE WHEN (SELECT COUNT(*) FROM sec.sr_adm_appl app_sea WHERE sr_adm_appl.appl_yr = app_sea.appl_yr AND sr_adm_appl.appl_qtr = app_sea.appl_qtr AND sr_adm_appl.system_key = app_sea.system_key AND app_sea.appl_branch = 0) = 0 THEN 'No' ELSE 'Yes' END AS Seattle_app, CASE WHEN (SELECT COUNT(*) FROM sec.sr_adm_appl app_sea WHERE sr_adm_appl.appl_yr = app_sea.appl_yr AND sr_adm_appl.appl_qtr = app_sea.appl_qtr AND sr_adm_appl.system_key = app_sea.system_key AND app_sea.appl_branch = 2) = 0 THEN 'No' ELSE 'Yes' END AS Tacoma_app, CASE WHEN (select appl_branch from sec.sr_adm_appl b where sr_adm_appl.appl_yr =b.appl_yr and sr_adm_appl.appl_qtr = b.appl_qtr and sr_adm_appl.system_key = b.system_key and b.appl_status = 16) = 0 THEN 'Seattle' WHEN (select appl_branch from sec.sr_adm_appl c where sr_adm_appl.appl_yr = c.appl_yr and sr_adm_appl.appl_qtr = c.appl_qtr and sr_adm_appl.system_key = c.system_key and c.appl_status = 16) = 1 THEN 'Bothell' WHEN (select appl_branch from sec.sr_adm_appl d where sr_adm_appl.appl_yr = d.appl_yr and sr_adm_appl.appl_qtr = d.appl_qtr and sr_adm_appl.system_key = d.system_key and d.appl_status = 16) = 2 THEN 'Tacoma' ELSE 'None' END AS Confirmed FROM sec.student_1 v INNER JOIN sec.sr_adm_appl ON v.system_key = sr_adm_appl.system_key INNER JOIN sec.addresses addr ON addr.system_key= v.system_key WHERE (sr_adm_appl.appl_branch = 1) AND (sr_adm_appl.appl_yr = @year) AND (sr_adm_appl.appl_qtr = @Quarter) AND (sr_adm_appl.appl_status_rsn = 91) AND sr_adm_appl.appl_type = '1'",EDWAdminMart,No
Report,Organization-Budget Relationship Report,10/7/2020,10/9/2008, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,This report displays the current and past relationships between budgets and user-selected org codes for a user-specified date.,Services & Resources,Enterprise Reporting and Analytics,"SELECT v.system_key, a.appl_yr, a.appl_qtr, v.student_name, -- addr.local_line_1, -- addr.local_line_2, -- addr.local_city, -- addr.local_state, -- addr.local_zip_5, -- addr.local_zip_4, addr.local_phone_num, addr.perm_phone_num, addr.e_mail_ucs, addr.e_mail_other, v.s1_gender, ar.req_major_abbr, mc.major_full_nm, a.appl_type, Appl_level = case when a.appl_type = '1' then 'FR' when a.appl_type = '2' OR a.appl_type = '4' then 'UG (2yr/4yr)' when a.appl_type = '6' OR a.appl_type = 'R' then 'UG (Returning)' when a.appl_type = '5' then '5YR' when a.appl_type = 'N'OR a.appl_type = 'P' then 'NM' when a.appl_type = '7' then 'GR (Returning)' when a.appl_type = 'G' then 'GR (Gradute)' when a.appl_type = 'E' then 'GNM' when a.appl_type = 'P' then 'PRO' else 'No Appl Type' end, a.appl_status, s.appl_stat_descrip, v.s1_visa_type, v.resident, addr.perm_country, addr.parent_country, ReasonCode= CASE WHEN a.appl_status_rsn= 0 THEN 'Direct' WHEN a.appl_status_rsn= 90 THEN 'Conditional - ELP' WHEN a.appl_status_rsn= 91 THEN 'Conditional - ATP' WHEN a.appl_status_rsn= 92 THEN 'Conditional - English Proficiency in Progress' WHEN a.appl_status_rsn= 93 THEN 'B BUS - Bellevue' WHEN a.appl_status_rsn= 99 THEN 'Director Approval' ELSE '-' END, a.appl_status_rsn, v.student_no FROM sec.student_1 v inner join sec.sr_adm_appl a on v.system_key = a.system_key inner join sec.sr_adm_appl_req_col_major ar on a.appl_yr = ar.appl_yr and a.appl_qtr = ar.appl_qtr and a.appl_no = ar.appl_no and a.system_key = ar.system_key inner join sec.sr_major_code mc on ar.req_major_abbr = mc.major_abbr inner join sec.sys_tbl_72_appl_status s on a.appl_status = s.table_key left join sec.addresses addr on v.system_key = addr.system_key WHERE a.appl_branch = 1 and mc.major_pathway = 0 and v.resident in (5,6) and v.s1_visa_type is not null and v.s1_visa_type <> '' AND (a.appl_yr = @year) AND (a.appl_qtr = @Quarter)",EDWAdminMart,No
Report,Consolidated Budget Status Report Menu,10/10/2020,10/12/2009, Dan Schaaf,Dinah Mite Millikin & Eric Rucker,This report supercedes all varieties of the discontinued paper-based Consolidated Budget Status Report AM28619 and AM28225. It can be used to view current budget status information by OrgCode or by Parent Budget/Grant.,Services & Resources,Enterprise Reporting and Analytics,"SELECT a.appl_qtr ,a.appl_yr ,a.appl_branch ,a.appl_status ,v.student_name_lowc ,st72.appl_stat_descrip ,a.system_key ,v.student_no FROM sec.student_1 v INNER JOIN sec.APPLHISTapplication a ON v.system_key = a.system_key INNER JOIN sec.sys_tbl_72_appl_status st72 ON a.appl_status = st72.table_key WHERE (a.appl_yr = DATEPART(yyyy, GETDATE()) - 1) AND a.appl_qtr = @Curr_Quarter AND (a.appl_type NOT IN ('E','G','N' )) AND (a.appl_branch = 1) --AND a.appl_status IN(2,8,17,4,5,7,9) -- Question: What statuses are considered No decision?? AND a.appl_status IN(2,4,5,7,8,9,17,10,13,14,15,16,24)",EDWAdminMart,No
